City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,lensk,60.7253,114.9278,36.72,72,100,5.01,RU,1697418260
131,shitanjing,39.2342,106.3439,54.57,37,3,6.42,CN,1697418440
132,phan thiet,10.9333,108.1,77.74,90,100,2.64,VN,1697418441
133,mejit,10.2753,170.8646,82.54,76,97,10.67,MH,1697418441
134,keflavik,64.0049,-22.5624,46.31,93,75,16.11,IS,1697418327
135,sinaia,45.35,25.55,45.09,91,100,10.87,RO,1697418441
136,weno,7.4515,151.8468,85.95,84,100,10.36,FM,1697418441
137,usogorsk,63.4106,48.6872,43.66,84,97,11.56,RU,1697418441
138,pinhao,-25.6956,-51.6597,61.68,98,17,4.32,BR,1697418441
139,lospalos,-8.5186,127.0025,82.9,47,11,11.27,TL,1697418442
140,nurota,40.5614,65.6886,47.17,35,0,7.07,UZ,1697418442
141,kongoussi,13.3258,-1.5347,85.89,27,43,7.9,BF,1697418442
142,vrangel',42.7297,133.0839,51.82,33,0,17.45,RU,1697418442
143,margate,51.3813,1.3862,44.91,60,97,4.59,GB,1697418217
144,burang,30.25,81.1667,29.98,61,7,3.31,CN,1697418442
145,tsetserleg,47.475,101.4542,39.96,43,100,3.94,MN,1697418442
146,san patricio,28.017,-97.5169,74.84,35,0,9.62,US,1697418442
147,yuzhno-kurilsk,44.0306,145.8556,57.38,69,100,8.99,RU,1697418443
148,kavaratti,10.5669,72.642,81.48,71,77,3.44,IN,1697418443
149,kapa'a,22.0752,-159.319,87.78,65,20,13.8,US,1697418443
150,sungai penuh,-2.0833,101.3833,71.83,80,33,1.43,ID,1697418443
151,emerald,-23.5333,148.1667,85.33,32,11,6.24,AU,1697418443
152,taguatinga,-12.3857,-46.5711,86.68,24,72,10.69,BR,1697418443
153,sitka,57.0531,-135.33,53.49,87,75,3.44,US,1697418444
154,the pas,53.8251,-101.2541,45.14,76,9,6.44,CA,1697418444
155,tarawa,1.419,172.984,86.09,74,75,6.91,KI,1697418444
156,arkhara,49.4212,130.0842,35.76,49,100,15.01,RU,1697418444
157,longyearbyen,78.2186,15.6401,28.24,74,75,14.97,SJ,1697418444
158,udachny,66.4167,112.4,23.45,92,100,12.88,RU,1697418444
159,abeche,13.8292,20.8324,83.48,26,99,4.81,TD,1697418444
160,kodiak,57.79,-152.4072,47.71,93,100,16.11,US,1697418445
161,shangmei,27.7428,111.2956,71.82,52,0,1.23,CN,1697418445
162,vilyuchinsk,52.9306,158.4028,50.27,96,100,7.27,RU,1697418445
163,vorgashor,67.5833,63.95,30.76,98,100,13.15,RU,1697418445
164,codrington,-38.2667,141.9667,56.44,49,71,22.24,AU,1697418445
165,tazacorte,28.629,-17.9293,82.15,30,0,5.99,ES,1697418445
166,queenstown,-31.8976,26.8753,52.61,90,100,6.78,ZA,1697418366
167,la ronge,55.1001,-105.2842,48.02,62,100,7.92,CA,1697418446
168,tazovsky,67.4667,78.7,34.43,99,100,5.32,RU,1697418446
169,erenhot,43.6475,111.9767,46.38,30,6,8.48,CN,1697418446
170,uturoa,-16.7333,-151.4333,79.16,72,14,8.08,PF,1697418213
171,fort st. john,56.2499,-120.8529,52.72,54,5,10.49,CA,1697418446
172,viqueque,-8.8673,126.3658,86.56,48,68,8.08,TL,1697418446
173,kayangel,8.0823,134.7173,82.69,77,32,8.9,PW,1697418446
174,saint-philippe,-21.3585,55.7679,72.99,84,35,3.22,RE,1697418446
175,praia da vitoria,38.7333,-27.0667,70.75,96,63,28.72,PT,1697418447
176,bouza,14.4229,6.0428,85.19,20,100,6.53,NE,1697418447
177,tura,25.5198,90.2201,69.8,84,1,3.13,IN,1697418447
178,madinat ash shamal,26.1293,51.2009,84.7,65,0,5.37,QA,1697418447
179,gniew,53.836,18.8231,43.52,83,93,13.87,PL,1697418447
180,port kembla,-34.4667,150.9,74.35,48,77,16.58,AU,1697418448
181,taulaga,-11.0553,-171.0883,82.35,74,24,19.15,AS,1697418448
182,champerico,14.3,-91.9167,82.33,78,100,2.46,GT,1697418448
183,grand falls-windsor,48.9332,-55.6649,45.5,91,100,4.12,CA,1697418396
184,geraldton,-28.7667,114.6,90.01,9,44,23.02,AU,1697418448
185,greymouth,-42.4667,171.2,51.98,83,100,13.04,NZ,1697418448
186,benghazi,32.1167,20.0667,72.75,72,4,6.53,LY,1697418448
187,yellowknife,62.456,-114.3525,48.42,97,95,3.0,CA,1697418448
188,yantzaza,-3.8278,-78.7594,67.66,98,93,0.96,EC,1697418449
189,alzamay,55.5562,98.6644,39.63,97,100,9.22,RU,1697418449
190,paita,-5.0892,-81.1144,68.23,84,16,13.27,PE,1697418449
191,cockburn town,21.4612,-71.1419,84.58,63,51,0.58,TC,1697418449
192,luganville,-15.5333,167.1667,81.73,78,51,11.12,VU,1697418449
193,mogocha,53.7333,119.7667,34.75,44,70,1.99,RU,1697418449
194,posto fiscal rolim de moura,-13.0833,-62.2667,83.52,58,100,1.59,BR,1697418449
195,holualoa,19.6228,-155.9522,79.77,82,100,5.99,US,1697418238
196,remire-montjoly,4.9167,-52.2667,80.64,83,0,2.3,GF,1697418450
197,san antonio de pale,-1.4014,5.6325,78.93,82,100,14.16,GQ,1697418450
198,ta`u,-14.2336,-169.5144,79.72,77,41,19.53,AS,1697418450
199,magadan,59.5667,150.8,33.82,66,100,3.0,RU,1697418450
200,avarua,-21.2078,-159.775,73.45,64,75,10.36,CK,1697418450
201,kingston,17.997,-76.7936,85.15,89,20,5.75,JM,1697418264
202,dudinka,69.4058,86.1778,19.67,91,37,8.01,RU,1697418450
203,alice springs,-23.7,133.8833,78.35,19,40,17.27,AU,1697418450
